			PEARSON CORRELATION MATRIX											
														
	Tb	Tc	To	initial.embryo	seed.dry.mass	latitude	altitude	mean.max.hot	mean.min.cold	mean.pre.dry	lnX.50b			
Tb	1	-0.03123532	-0.50178146	-0.2024224	-0.396385	0.01168994	-0.08736564	-0.003043591	0.2048437	0.08911303	-0.8747675			
Tc	-0.031235324	1	0.10352143	0.0610427	-0.7295985	-0.73326273	0.70242035	0.810435364	-0.5583408	-0.87285009	-0.1700329			
To	-0.501781459	0.10352143	1	0.2550056	0.2219626	0.21351979	-0.16844985	-0.041280467	0.1019034	0.01433147	0.5979398			
initial.embryo	-0.202422428	0.0610427	0.2550056	1	-0.2386506	-0.29573789	0.23781707	0.264608475	-0.4175364	-0.36651742	0.1150141			
seed.dry.mass	-0.396385034	-0.7295985	0.22196264	-0.2386506	1	0.85563599	-0.83264311	-0.863163223	0.6003102	0.69391408	0.6913575			
latitude	0.011689936	-0.73326273	0.21351979	-0.2957379	0.855636	1	-0.92474984	-0.97060114	0.6190424	0.79014113	0.3420544			
altitude	-0.087365644	0.70242035	-0.16844985	0.2378171	-0.8326431	-0.92474984	1	0.870739987	-0.7964721	-0.7131371	-0.3605372			
mean.max.hot	-0.003043591	0.81043536	-0.04128047	0.2646085	-0.8631632	-0.97060114	0.87073999	1	-0.5399528	-0.81615867	-0.2958087			
mean.min.cold	0.204843674	-0.5583408	0.10190341	-0.4175364	0.6003102	0.61904237	-0.79647207	-0.539952794	1	0.68584443	0.1953655			
mean.pre.dry	0.089113031	-0.87285009	0.01433147	-0.3665174	0.6939141	0.79014113	-0.7131371	-0.816158668	0.6858444	1	0.1125322			
lnX.50b	-0.874767469	-0.17003291	0.59793979	0.1150141	0.6913575	0.34205445	-0.36053719	-0.295808696	0.1953655	0.11253223	1			
														
	Eigenvalues								DESCRIPTION OF FIRST 2 DIMENSION					
														
			% variance	cum. % variance						Dim 1				
comp	1		53.2422928	53.24229										
comp	2		22.9793455	76.22164						correlation	p.value			
comp	3		8.6170403	84.83868					latitude	0.94909087	9.32E-05	**		
comp	4		7.0576381	91.89632					seed.dry.mass	0.92847139	3.00E-04	**		
comp	5		4.0158404	95.91216					mean.pre.dry	0.87064622	2.25E-03	**		
comp	6		3.5779384	99.4901					mean.min.cold	0.75612867	1.84E-02	*		
comp	7		0.377221	99.86732					lnX.50b	0.43381895	2.43E-01	NS		
comp	8		0.1326834	100					To	0.17065916	6.61E-01	NS		
									Tb	-0.08541781	8.27E-01	NS		
$coord									initial.embryo	-0.31844835	4.04E-01	NS		
	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5				Tc	-0.8322293	5.38E-03	**		
